repeat,fold,k,max_depth,f1
1,1,3,None,0.7349081364829396
1,2,3,None,0.7422680412371134
1,3,3,None,0.7582697201017812
2,1,3,None,0.7525773195876289
2,2,3,None,0.7338501291989664
2,3,3,None,0.7447916666666666
3,1,3,None,0.7493670886075949
3,2,3,None,0.7660668380462725
3,3,3,None,0.7005347593582888
4,1,3,None,0.6810810810810811
4,2,3,None,0.7582697201017812
4,3,3,None,0.7743589743589744
5,1,3,None,0.7786259541984732
5,2,3,None,0.7214854111405835
5,3,3,None,0.75
6,1,3,None,0.7176781002638523
6,2,3,None,0.7474226804123711
6,3,3,None,0.7786259541984732
7,1,3,None,0.7621483375959079
7,2,3,None,0.7058823529411765
7,3,3,None,0.7324675324675325
8,1,3,None,0.7021276595744681
8,2,3,None,0.7154471544715447
8,3,3,None,0.78
9,1,3,None,0.6954177897574124
9,2,3,None,0.7338501291989664
9,3,3,None,0.7557840616966581
10,1,3,None,0.6740331491712708
10,2,3,None,0.8019323671497585
10,3,3,None,0.7421052631578947
1,1,5,None,0.7521367521367521
1,2,5,None,0.7111111111111111
1,3,5,None,0.7304347826086957
1,4,5,None,0.7272727272727273
1,5,5,None,0.7639484978540773
2,1,5,None,0.74235807860262
2,2,5,None,0.8148148148148148
2,3,5,None,0.7532467532467533
2,4,5,None,0.7130434782608696
2,5,5,None,0.7639484978540773
3,1,5,None,0.773109243697479
3,2,5,None,0.7639484978540773
3,3,5,None,0.7966101694915254
3,4,5,None,0.7381974248927039
3,5,5,None,0.6872246696035242
4,1,5,None,0.6905829596412556
4,2,5,None,0.7161572052401747
4,3,5,None,0.8048780487804879
4,4,5,None,0.7763713080168776
4,5,5,None,0.7413793103448276
5,1,5,None,0.7782426778242678
5,2,5,None,0.7705627705627706
5,3,5,None,0.7542372881355932
5,4,5,None,0.7404255319148936
5,5,5,None,0.7782426778242678
6,1,5,None,0.7288888888888889
6,2,5,None,0.7848101265822784
6,3,5,None,0.7811158798283262
6,4,5,None,0.7350427350427351
6,5,5,None,0.7901234567901234
7,1,5,None,0.7717842323651453
7,2,5,None,0.7619047619047619
7,3,5,None,0.7256637168141593
7,4,5,None,0.7532467532467533
7,5,5,None,0.7404255319148936
8,1,5,None,0.6877828054298643
8,2,5,None,0.7467811158798283
8,3,5,None,0.7413793103448276
8,4,5,None,0.7983870967741935
8,5,5,None,0.7381974248927039
9,1,5,None,0.7565217391304347
9,2,5,None,0.7192982456140351
9,3,5,None,0.774468085106383
9,4,5,None,0.7639484978540773
9,5,5,None,0.7659574468085106
10,1,5,None,0.7232142857142857
10,2,5,None,0.759493670886076
10,3,5,None,0.8166666666666667
10,4,5,None,0.7186147186147186
10,5,5,None,0.7336244541484717
1,1,10,None,0.773109243697479
1,2,10,None,0.7704918032786885
1,3,10,None,0.7142857142857143
1,4,10,None,0.7142857142857143
1,5,10,None,0.7936507936507936
1,6,10,None,0.6666666666666666
1,7,10,None,0.7413793103448276
1,8,10,None,0.7716535433070866
1,9,10,None,0.7833333333333333
1,10,10,None,0.7899159663865546
2,1,10,None,0.819672131147541
2,2,10,None,0.6972477064220184
2,3,10,None,0.7478260869565218
2,4,10,None,0.8292682926829268
2,5,10,None,0.7543859649122807
2,6,10,None,0.7580645161290323
2,7,10,None,0.7142857142857143
2,8,10,None,0.6842105263157895
2,9,10,None,0.7627118644067796
2,10,10,None,0.7603305785123967
3,1,10,None,0.7692307692307693
3,2,10,None,0.7863247863247863
3,3,10,None,0.7256637168141593
3,4,10,None,0.8412698412698413
3,5,10,None,0.7899159663865546
3,6,10,None,0.8166666666666667
3,7,10,None,0.7627118644067796
3,8,10,None,0.7256637168141593
3,9,10,None,0.7394957983193278
3,10,10,None,0.5981308411214953
4,1,10,None,0.6666666666666666
4,2,10,None,0.7192982456140351
4,3,10,None,0.7256637168141593
4,4,10,None,0.7304347826086957
4,5,10,None,0.7933884297520661
4,6,10,None,0.773109243697479
4,7,10,None,0.7666666666666667
4,8,10,None,0.7868852459016393
4,9,10,None,0.7768595041322314
4,10,10,None,0.7413793103448276
5,1,10,None,0.8429752066115702
5,2,10,None,0.7543859649122807
5,3,10,None,0.819672131147541
5,4,10,None,0.7079646017699115
5,5,10,None,0.7368421052631579
5,6,10,None,0.7692307692307693
5,7,10,None,0.7580645161290323
5,8,10,None,0.6785714285714286
5,9,10,None,0.7936507936507936
5,10,10,None,0.7758620689655172
6,1,10,None,0.7027027027027027
6,2,10,None,0.7272727272727273
6,3,10,None,0.7457627118644068
6,4,10,None,0.7758620689655172
6,5,10,None,0.7413793103448276
6,6,10,None,0.8166666666666667
6,7,10,None,0.7058823529411765
6,8,10,None,0.7394957983193278
6,9,10,None,0.8
6,10,10,None,0.7933884297520661
7,1,10,None,0.7610619469026548
7,2,10,None,0.743801652892562
7,3,10,None,0.8166666666666667
7,4,10,None,0.7543859649122807
7,5,10,None,0.7768595041322314
7,6,10,None,0.6964285714285714
7,7,10,None,0.7627118644067796
7,8,10,None,0.7692307692307693
7,9,10,None,0.7017543859649122
7,10,10,None,0.7666666666666667
8,1,10,None,0.7586206896551724
8,2,10,None,0.6842105263157895
8,3,10,None,0.7288135593220338
8,4,10,None,0.7933884297520661
8,5,10,None,0.7863247863247863
8,6,10,None,0.7017543859649122
8,7,10,None,0.7796610169491526
8,8,10,None,0.8636363636363636
8,9,10,None,0.6785714285714286
8,10,10,None,0.7692307692307693
9,1,10,None,0.7272727272727273
