repeat,k,max_depth,f1
1,3,None,0.745148632607278
2,3,None,0.7437397051510873
3,3,None,0.7386562286707187
4,3,None,0.7379032585139456
5,3,None,0.7500371217796856
6,3,None,0.7479089116248989
7,3,None,0.7334994076682056
8,3,None,0.7325249380153376
9,3,None,0.728350660217679
10,3,None,0.7393569264929747
1,5,None,0.7369807741966727
2,5,None,0.757482324555827
3,5,None,0.751818001107862
4,5,None,0.7458737664047247
5,5,None,0.7643421892523585
6,5,None,0.7639962174264705
7,5,None,0.7506049992491427
8,5,None,0.7425055506642835
9,5,None,0.7560388029026882
10,5,None,0.7503227592060437
1,10,None,0.7518772089236858
2,10,None,0.7528003381771
3,10,None,0.755507396735454
4,10,None,0.7480351812198467
5,10,None,0.7637219586252002
6,10,None,0.7548412768829419
7,10,None,0.7549567993204095
8,10,None,0.7544211955722474
9,10,None,0.7533133199839687
10,10,None,0.7572766946200435
