repeat,k,max_depth,f1
1,3,3,0.0
2,3,3,0.0
3,3,3,0.002824858757062147
4,3,3,0.002824858757062147
5,3,3,0.002812939521800281
6,3,3,0.005625879043600562
7,3,3,0.0
8,3,3,0.002812939521800281
9,3,3,0.002812939521800281
10,3,3,0.002812939521800281
1,3,5,0.07846122017585284
2,3,5,0.05731998438037547
3,3,5,0.07352614509751655
4,3,5,0.05200975758433777
5,3,5,0.049566380265280006
6,3,5,0.07600854963116749
7,3,5,0.06546874108123936
8,3,5,0.0655884071339438
9,3,5,0.060279346076230644
10,3,5,0.06779876708480011
1,3,None,0.745148632607278
2,3,None,0.7437397051510873
3,3,None,0.7386562286707187
4,3,None,0.7379032585139456
5,3,None,0.7500371217796856
6,3,None,0.7479089116248989
7,3,None,0.7334994076682056
8,3,None,0.7325249380153376
9,3,None,0.728350660217679
10,3,None,0.7393569264929747
1,5,3,0.002797202797202797
2,5,3,0.0028169014084507044
3,5,3,0.005555555555555555
4,5,3,0.002797202797202797
5,5,3,0.0028169014084507044
6,5,3,0.002797202797202797
7,5,3,0.0028169014084507044
8,5,3,0.0
9,5,3,0.002797202797202797
10,5,3,0.0028169014084507044
1,5,5,0.06534977271430473
2,5,5,0.06979083295332704
3,5,5,0.05716250510629348
4,5,5,0.05678221754380695
5,5,5,0.06547717692531782
6,5,5,0.07811257017371584
7,5,5,0.07314170422991131
8,5,5,0.06794466612431124
9,5,5,0.07048237052571231
10,5,5,0.0654618553366782
1,5,None,0.7369807741966727
2,5,None,0.757482324555827
3,5,None,0.751818001107862
4,5,None,0.7458737664047247
5,5,None,0.7643421892523585
6,5,None,0.7639962174264705
7,5,None,0.7506049992491427
8,5,None,0.7425055506642835
9,5,None,0.7560388029026882
10,5,None,0.7503227592060437
1,10,3,0.0
2,10,3,0.0028169014084507044
3,10,3,0.0027777777777777775
4,10,3,0.0027777777777777775
5,10,3,0.0028169014084507044
6,10,3,0.0027777777777777775
7,10,3,0.0028169014084507044
8,10,3,0.0028169014084507044
9,10,3,0.0027777777777777775
10,10,3,0.0028169014084507044
1,10,5,0.0701047456973917
2,10,5,0.04903311762466692
3,10,5,0.0755163629464126
4,10,5,0.0663679585384552
5,10,5,0.059763708914393844
6,10,5,0.061681127414364614
7,10,5,0.06546427249166975
8,10,5,0.07553221269659625
9,10,5,0.07287679460282201
10,10,5,0.05680942297741144
1,10,None,0.7518772089236858
2,10,None,0.7528003381771
3,10,None,0.755507396735454
4,10,None,0.7480351812198467
5,10,None,0.7637219586252002
6,10,None,0.7548412768829419
7,10,None,0.7549567993204095
8,10,None,0.7544211955722474
9,10,None,0.7533133199839687
10,10,None,0.7572766946200435
